,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
7955,1,2,5,5,0,0,0,0,1,1,0,0,1,1,11.59,28.18,4.21,-3.06,7.47,0.33,6.83
5517,1,3,4,2,1,0,1,0,0,1,1,0,1,1,11.89,27.91,1.08,7.34,7.88,1.12,7.08
13943,0,1,5,3,0,0,0,1,1,1,1,1,1,1,12.11,27.69,-0.99,4.67,7.23,-2.87,7.53
7672,1,2,5,5,1,0,0,1,1,1,0,1,0,1,11.77,26.59,3.7,0.8,7.31,0.09,6.71
15908,1,5,2,2,0,0,1,0,0,1,1,1,0,1,11.75,23.5,1.35,1.46,7.71,1.17,5.41
8947,1,1,2,4,1,1,1,0,0,1,0,1,0,0,12.3,31.63,2.33,2.71,7.27,2.49,6.31
10311,1,5,2,5,1,0,1,1,0,0,1,1,1,0,11.76,27.01,-0.62,1.13,7.85,1.57,7.43
17970,1,5,3,3,1,1,1,1,1,0,1,0,0,1,11.65,28.04,2.26,-1.66,7.57,-1.19,5.81
130,1,5,5,3,0,0,0,0,1,1,0,0,1,1,12.31,25.69,1.49,-1.3,7.57,1.35,6.39
2943,1,2,4,1,1,0,1,0,1,1,1,1,1,1,12.19,27.96,-0.07,0.76,7.39,0.67,5.98
17411,1,5,1,3,0,0,1,1,0,1,0,1,1,1,11.84,29.73,0.72,-1.62,7.42,0.38,6.3
19752,1,2,4,5,0,0,1,0,0,0,0,0,1,1,12.35,28.15,0.87,-0.05,7.81,-4.23,4.54
3397,1,5,3,3,1,1,1,1,1,1,1,0,0,1,12.22,27.48,1.55,5.07,7.79,-1.84,6.42
1374,1,3,3,3,1,0,0,0,1,0,1,0,1,1,11.74,29.28,0.65,-3.37,7.33,-0.87,4.36
6250,1,5,5,1,0,1,0,0,0,0,1,1,0,0,12.11,27.8,1.68,-2,6.94,-3.04,6.22
9948,1,1,4,4,1,1,1,0,0,0,1,0,0,0,11.68,30.06,-1.01,-7.05,7.86,2.15,4.26
8874,1,4,5,5,1,1,1,1,1,1,0,0,1,0,12.15,25.37,-0.21,0.06,7.78,2.35,5.58
8741,1,5,4,5,0,0,1,0,1,1,0,1,0,0,12.46,27.1,4.71,3.37,7.83,2.01,5
3836,1,5,2,5,0,1,0,1,0,1,1,1,1,1,12.21,30.6,0.7,-3.86,7.2,-2.02,5.92
11284,1,3,4,5,1,1,0,1,0,0,0,0,1,1,11.93,26.6,3.49,1.33,7.6,3.22,6.5
14137,1,5,4,3,1,1,1,1,0,0,0,1,0,0,11.92,26.24,0.26,-4.5,7.61,0.23,5.91
2265,0,1,2,3,1,1,0,0,0,1,0,1,1,0,11.82,26.82,0.94,2.65,7.42,-1.78,6.01
11017,0,3,2,5,0,0,1,1,1,0,0,0,1,0,12.14,27.32,1.35,0.72,7.41,1.77,6.01
11758,0,1,5,3,0,1,0,0,1,0,0,0,0,1,12.11,26.67,0.12,-2.05,7.54,1.25,6.75
3990,1,4,1,3,0,0,0,1,1,1,1,0,1,0,12.24,27.05,0.62,3.02,7.22,1.26,3.09
1197,1,5,5,4,0,0,1,1,1,0,1,0,1,1,12.3,30.68,1.95,-1.56,7.59,1.61,7.81
16358,1,3,4,3,1,0,0,1,1,0,0,0,1,0,11.76,26.44,3.01,-2.34,7.47,0.76,4.51
12654,0,3,4,4,1,1,0,0,0,1,0,0,0,1,12.01,26.48,4.15,-2.92,8.01,-0.11,6.23
12681,1,4,2,3,1,1,1,0,1,0,0,0,1,0,12.54,24.97,7.48,4.64,7.37,0.16,6.97
16789,1,2,2,3,1,1,1,0,1,0,0,1,1,1,12.12,28.87,0.47,-1.1,7.48,0.41,5.14
12220,0,5,4,4,0,1,1,1,0,1,1,1,1,0,12.21,28.07,0.15,2.57,7.62,4.04,7.02
1821,0,2,5,2,0,0,1,0,1,0,1,0,1,0,11.93,28.83,-0.91,-4.28,7.33,-1.26,7.23
3767,1,3,4,5,1,1,1,1,0,0,0,0,1,0,11.99,29.7,1.52,2.15,7.48,0.57,4.78
13986,1,3,2,3,0,0,0,0,0,0,0,1,0,1,11.67,27.32,1.83,-2.68,7.19,-1.69,7.67
12971,1,1,3,4,0,0,0,0,1,0,0,0,1,0,12.01,30.73,2.51,-2.38,7.35,-0.83,6.32
338,1,4,5,3,0,1,1,1,1,0,1,1,1,0,11.66,27.13,5.13,1.59,7.64,-0.66,4.48
2772,1,1,2,5,1,1,1,1,0,0,1,1,1,1,12.37,26.01,2.39,-3.71,7.08,1.44,7.94
7306,1,3,4,5,1,1,1,0,0,1,1,1,0,0,11.76,27.25,3.26,4.15,7.12,2.5,7.63
12038,1,4,3,5,0,0,1,1,0,1,1,1,0,1,12.02,27.63,-0.83,-1.4,7.4,-0.4,3.73
5240,0,5,5,5,0,1,1,1,0,0,1,0,0,0,12.03,27.63,2.18,-0.63,7.22,0.98,6.67
19475,0,3,3,2,1,0,1,0,0,0,0,0,1,0,11.94,30.89,2.56,-3.18,7.83,-1.9,5.92
4631,1,5,5,5,1,0,1,1,0,0,1,0,1,1,12.09,24.37,0.63,-1.06,7.62,-0.98,5
19981,1,4,3,3,1,1,0,0,1,0,1,1,0,1,11.96,27.55,1.96,1.87,7.64,-1.08,6.57
2609,0,1,5,4,1,1,0,0,1,1,0,0,1,1,11.97,26.79,0.94,1.02,7.58,-1.06,5.28
10745,0,5,5,3,0,0,0,1,0,0,1,1,1,0,12.08,32.06,2.84,-0.48,7.54,-0.31,4.28
13734,1,2,2,5,1,0,1,1,1,1,1,0,0,0,11.97,27.28,0.93,-1.02,7.17,-0.58,4.93
4540,1,2,5,1,0,1,1,1,1,0,0,0,0,1,12.07,26.4,1.87,-1.49,7.7,0.63,4.66
10113,0,3,5,4,1,0,0,0,1,0,1,0,1,1,12.19,27.92,3.11,4.3,7.41,-1.88,5.2
5114,1,1,5,5,1,0,0,0,1,0,0,0,1,1,11.9,32.04,-1.08,-3.89,7.42,1.28,4.23
13487,1,2,5,4,1,0,1,0,1,1,1,1,1,1,11.94,28.41,0.49,-2.28,7.49,-1.52,6.95
18731,1,2,4,4,1,1,1,0,1,0,1,1,0,1,12.02,27.7,0.26,3.12,7.66,-0.85,5.87
6196,0,3,4,2,1,1,1,0,1,1,0,1,0,1,12.22,28.83,2.5,1.9,7.34,-1.19,5.69
10587,1,5,4,3,0,0,1,0,0,0,1,1,1,0,12.12,28.02,3.72,0.96,7.32,-0.91,8.12
5596,1,4,5,3,0,0,1,1,0,0,0,0,0,1,11.57,32.76,1.99,4.8,7.54,-1.12,7.72
2019,1,4,5,2,1,0,1,1,0,0,1,0,1,1,12.13,27.01,2.78,3.29,7.73,4.23,5.97
17977,1,2,5,4,1,0,1,1,1,0,0,1,0,0,11.95,25.08,-0.1,0.38,7.36,-1.44,5.83
16130,1,3,2,4,0,1,0,0,1,0,1,0,0,1,11.95,25.92,-0.53,5.45,7.08,-0.33,6.04
8192,1,2,3,4,1,1,0,0,0,1,0,0,0,0,11.85,27.87,3.64,1.59,7.48,1.51,4.73
17549,1,2,5,3,1,0,0,0,1,0,1,1,0,1,11.79,25,-0.55,2.91,7.28,-2.35,6.74
4398,1,2,4,4,1,1,0,0,0,1,1,1,1,1,11.92,27.9,2.54,-9.56,7.55,-1.31,5.23
13180,1,4,5,5,0,1,0,0,0,0,0,0,0,0,12.05,26.98,2.22,3.42,7.6,2.09,5.38
4931,1,4,5,2,1,1,0,0,0,1,0,0,0,1,12.03,28.4,3.22,4.21,7.8,-0.2,5.07
7750,1,5,5,2,1,0,1,1,0,0,0,0,1,1,11.68,28.19,3.17,11.67,7.6,3.02,4.37
3298,0,1,3,5,0,0,1,1,0,1,0,0,1,0,11.93,28.29,5.65,0.55,7.6,0.9,6.13
12990,1,2,2,4,0,1,1,1,0,0,0,1,1,1,12.04,27.87,3.65,-4.24,7.47,3.05,4.69
6292,1,3,2,2,0,0,0,0,0,1,1,0,1,1,11.82,25.98,3.38,1.07,7.18,0.2,4.8
7362,1,3,4,4,0,0,1,0,0,0,1,0,1,1,11.96,30.52,-0.78,-5.37,7.45,3.74,5.21
16011,0,3,4,3,0,0,0,0,1,0,0,0,0,1,12.37,29.94,-0.61,0.8,7.73,1.65,5.93
10431,1,5,4,3,1,0,1,0,0,0,0,1,0,0,12.11,27.89,0.26,1.04,7.17,1.38,5.2
13857,1,3,5,5,1,1,1,1,1,1,0,0,1,1,12.03,33.47,4.86,1.84,7.62,0.85,7.3
5982,1,1,2,5,0,0,0,0,1,1,1,0,1,0,12.13,29.19,-0.5,-2.87,7.65,1.59,6.07
2031,1,3,3,5,1,1,0,0,0,0,1,1,0,1,11.76,29.4,0.39,1.17,7.06,-3.78,4.66
18246,1,1,2,2,1,1,1,1,1,0,0,1,0,1,11.81,26.53,2.55,6.83,7.35,0.89,7.48
16466,1,3,1,2,1,0,1,1,0,1,0,0,1,1,12.29,25.78,1.8,2.75,7.53,1.07,5.97
2856,0,3,2,3,1,0,1,1,0,0,1,1,0,1,12.17,29.36,3.71,2.65,7.42,-1.9,5.36
3858,1,5,5,1,0,0,1,0,0,0,1,1,1,1,11.92,29.83,-0.26,-1.87,7.45,0.97,6.27
6979,1,5,3,5,0,0,1,1,1,1,0,0,0,1,11.73,24.78,2.73,2.11,7.83,1.06,6.29
1123,1,2,4,4,0,1,0,0,1,1,1,0,1,1,11.99,27.63,4.59,4.8,7.62,2.38,6.91
9571,1,4,4,3,0,1,1,0,0,1,1,0,1,1,12.42,26.98,0.7,0.61,7.44,2.64,6.4
4212,1,3,5,2,1,0,0,0,0,1,1,1,1,1,11.99,25.08,3.58,3.2,7.7,0.85,4.7
9272,1,2,3,3,0,1,0,1,1,1,0,1,0,0,11.9,26.84,2.68,-5.31,7.6,4.63,7.6
19028,0,3,3,4,1,1,1,0,0,1,1,0,1,1,11.97,26.55,4.86,0.91,7.2,1.86,5.88
7151,1,2,4,3,0,0,1,1,1,0,0,1,0,0,12,28.52,1.56,-7.27,7.66,-0.47,7.69
8856,1,5,4,3,0,0,0,1,0,1,1,0,0,0,11.81,27.11,4.41,10.15,7.92,-1.21,6.92
5297,0,4,4,3,0,1,1,0,1,1,1,0,0,0,12.08,28.05,3.52,2.59,7.48,-0.87,4.62
18053,1,4,4,3,0,1,0,0,1,1,0,1,0,1,12.09,28.17,-0.65,-5.61,7.24,-2.3,5.13
5794,1,4,4,4,0,1,0,0,1,0,1,1,0,0,12.08,26.46,1.05,-3.31,7.4,-1.48,6.95
12229,1,3,5,3,1,0,1,0,1,1,1,1,1,0,11.97,28.54,1.11,-5.7,7.81,-0.04,6.02
5718,1,3,4,5,0,0,1,0,0,1,0,0,0,0,12.1,30.06,2.28,5.33,8.05,0.53,5.47
12101,1,1,5,5,0,1,1,0,1,0,1,0,0,0,12.17,28.01,1.37,5.62,7.8,2.8,5.82
18210,1,3,2,4,0,0,1,0,1,1,0,0,1,1,11.73,26.62,-0.78,3.44,7.8,1.72,3.92
5128,1,1,5,2,1,1,0,1,0,1,1,0,0,1,12.04,27,1.41,-2.45,7.61,-0.09,5.89
14694,1,2,4,4,0,0,0,0,0,1,0,0,0,0,12.15,29.9,3.38,1.12,7.66,0.93,4.23
18818,1,1,1,1,0,1,1,1,1,0,0,1,1,1,11.87,30.72,2.3,-4.39,7.51,-0.28,6.35
13483,0,3,1,5,0,0,1,0,1,0,0,1,1,1,12.51,28.31,2.92,-2.17,7.65,1.68,5.31
5376,1,5,5,3,1,1,0,0,1,0,0,1,1,0,11.95,26.46,-2.11,-3.67,7.74,0.89,5.68
9292,0,5,5,4,1,1,1,1,1,1,0,1,1,0,11.87,26.95,3.19,2.38,7.02,0.53,4.39
7569,1,4,3,3,1,0,1,0,1,0,1,0,0,1,12.06,32,1.09,5.96,7.36,0.18,5.48
15143,0,4,3,5,1,0,0,1,1,1,1,1,0,0,11.83,27.08,2.84,3.88,7.71,-1.39,3.21
234,1,2,2,4,1,1,1,0,1,1,1,0,1,1,11.92,26.41,2.87,-2.21,7.66,2.81,4.61
2054,1,2,3,5,0,0,0,1,0,0,0,1,0,0,12.04,29.9,1.73,-7.21,7.36,-0.94,2.37
15189,1,4,4,2,1,1,0,1,1,1,1,1,0,1,11.89,28.3,1.98,1.6,7.95,0.17,4.43
13140,1,1,3,5,0,0,1,0,0,0,0,1,1,1,12.28,29.84,4.22,1.07,7.68,3.07,5.6
18084,1,2,4,3,0,0,0,0,1,1,0,0,1,0,12.17,25.57,1.55,-1.58,7.4,0.93,6.64
2462,1,4,2,3,0,0,0,1,1,0,1,0,0,0,11.84,26.14,3.4,-3.58,7.52,-1.29,6.07
18265,0,4,4,4,0,1,0,1,1,1,0,0,1,0,12.39,28.82,1.93,-1.15,7.59,-0.1,5.24
7291,1,3,2,3,1,1,0,0,1,1,0,0,1,0,12.09,29.25,0.63,-1.27,7.75,1.49,5.43
4737,1,4,4,3,1,0,0,1,1,0,0,1,1,0,12.45,27.52,1.59,-0.14,7.75,-1.25,6.76
14164,1,2,4,4,1,0,1,1,0,1,0,0,1,1,12.23,29.29,0.71,-3.51,7.52,-2.69,3.49
14308,1,3,4,4,0,1,1,0,1,1,1,0,1,1,11.97,26.2,-0.54,-1.24,7.72,1.06,5.1
11655,1,2,5,4,0,1,0,1,0,0,0,1,1,1,12.3,27.73,-0.53,2.32,7.19,0.78,5.14
10898,0,4,5,1,1,1,1,1,0,1,1,1,1,1,12.45,28.62,2.73,2.96,7.73,-0.59,7.55
7610,1,3,5,1,0,0,0,0,0,1,0,1,0,0,11.88,30.28,-0.63,6.36,7.56,-0.23,4.9
8417,0,1,5,2,1,1,0,0,1,0,0,1,1,0,12.08,26.6,1.46,-4.9,7.52,-0.06,4.35
10701,1,1,4,4,0,1,1,1,1,0,0,0,1,0,11.92,31.63,1.01,-2.31,7.87,1.58,5.2
1341,0,4,5,3,0,0,0,0,0,0,1,0,0,0,12.17,28.07,3.62,-1.55,7.42,-0.87,4.44
666,1,3,5,4,0,1,0,0,1,0,0,1,0,0,12.1,27.33,1.03,-0.11,7.7,-1.28,5.61
8945,1,5,3,5,1,1,0,1,1,1,1,1,1,1,11.62,25.94,1.52,-5.67,7.65,0.7,6.63
9102,1,5,3,5,0,0,0,0,1,0,1,1,1,0,11.97,28.43,2.54,0.5,7.66,3.22,5.5
18649,1,4,3,2,1,0,0,1,1,0,1,1,0,0,12.17,27.76,3.5,4.78,7.58,0.53,5.28
7632,0,1,2,4,1,1,1,1,0,1,0,0,1,0,12.37,26.32,1.96,-2.13,7.33,0.99,6.27
17498,1,3,5,4,0,0,0,0,1,1,0,0,0,1,12.29,27.87,0.99,-0.77,7.37,-0.3,5.07
1749,1,4,2,4,1,0,1,1,0,1,1,0,1,0,11.94,28.72,-0.32,2.27,7.67,0.41,5.59
3777,1,2,4,5,0,1,1,1,0,0,0,0,0,1,11.68,26.33,1.1,-0.41,7.14,-1.46,4.23
951,1,3,5,5,1,0,0,0,1,0,0,0,0,0,12.44,27.84,0.59,0.03,7.27,-0.75,5.77
12350,1,4,5,4,0,1,1,0,0,1,0,1,1,1,11.67,29.71,3.1,8.36,7.31,0.63,5.22
8381,1,3,4,1,1,0,0,0,0,1,1,0,0,0,12.47,24.55,-0.08,-2.09,7.77,-0.63,6.93
16116,1,2,4,1,0,0,0,1,0,0,1,0,0,0,12.15,28.19,0.85,-2.47,7.72,-1.01,6.78
3916,1,3,3,5,1,0,1,0,0,0,0,0,1,0,12.23,29.53,3.72,-0.08,7.65,4.25,5.01
8255,1,2,2,5,1,1,1,1,1,1,0,1,1,1,12.16,27.53,-1.97,2.58,7.55,3.41,5.57
1145,1,2,1,5,0,1,0,0,1,1,0,1,1,0,12.07,26.37,1.46,4.77,7.43,2.51,7.39
3205,0,3,2,5,0,1,0,0,0,0,1,0,1,0,11.98,26.55,2.84,-2.74,7.92,-2.47,5.98
1804,1,4,2,5,0,0,0,1,0,1,0,0,1,1,11.83,26.55,3.94,-0.82,8.02,-2.11,5.89
19467,0,1,4,5,0,1,1,0,0,0,0,1,1,1,12.37,26.56,0.95,2.43,7.49,0.97,4.8
10687,0,2,4,4,1,0,1,1,0,0,1,1,0,0,12.42,25.17,2.47,5.43,7.65,-1.88,5.78
6836,0,2,5,4,0,0,0,0,0,1,1,0,1,0,12.09,29.12,-1.09,-2.63,7.39,-3.46,5.34
19455,1,2,3,3,0,0,0,0,0,1,1,1,0,1,12.56,27.26,3.36,4.12,7.7,0.81,5.28
15192,1,5,3,4,0,0,0,1,1,1,0,0,0,1,11.96,26.8,2.25,0.63,7.03,-2.12,8.65
9812,0,1,5,1,1,0,1,0,0,0,0,1,1,0,12.06,27.18,1.62,2.4,7.57,0.4,7.18
13396,1,1,4,4,1,1,0,0,1,0,1,0,1,0,12.09,24.57,1.15,-1.45,7.95,-3.47,4.84
4084,1,2,3,4,0,1,1,1,0,1,0,1,1,1,11.83,29.51,0.57,-5.62,7.69,2.14,6.62
14233,0,3,3,3,1,0,1,0,0,1,0,1,1,0,12.23,28.98,1.62,1.23,7.31,-0.47,4.43
8178,1,1,4,5,1,0,0,0,0,1,0,0,1,0,11.86,28.32,2.56,0.52,7.01,2.78,4.82
17949,0,4,4,3,0,1,0,1,1,1,0,0,0,1,11.97,28.86,4.27,-2.74,7.61,1.76,5.75
4588,0,4,5,1,0,1,1,0,0,0,1,0,0,1,12.35,28.74,3.17,3.6,7.68,-0.58,5.73
482,1,5,4,1,0,0,0,0,0,0,0,1,1,0,12.03,29.21,1,0.53,7.36,1.6,5.74
1909,1,5,4,5,1,1,0,0,0,0,0,0,1,0,12.14,30.02,0.45,-3.05,7.47,2.6,5.91
4225,1,3,1,5,0,0,1,1,0,1,1,0,0,0,12.29,27.01,0.11,4.11,7.78,0.22,5.76
16314,0,1,1,4,0,0,0,0,0,0,0,1,1,0,12.18,28.81,0.29,-1.25,7.93,1.81,4.39
12583,1,2,4,3,1,1,1,1,0,1,0,0,1,0,12.25,28.12,0.62,7.04,7.56,-2.13,5.1
13648,0,4,1,3,0,0,1,0,1,0,0,1,1,1,12.4,25.75,1.74,-6.14,7.49,-0.02,5.23
3413,1,2,3,5,1,0,1,0,0,0,0,1,1,1,12.36,27.11,-0.65,5.36,7.43,-0.01,8.65
14922,1,2,3,3,1,1,0,0,1,0,1,0,0,0,11.94,31.15,0.17,-4.52,7.4,0.57,5.74
15389,1,5,3,5,1,1,1,0,0,1,0,1,1,0,12.08,29.16,2.22,-0.12,7.54,0.25,5.7
12708,1,2,5,5,0,0,0,1,1,0,0,0,0,0,12.28,31.14,0.1,1.1,7.42,2.3,4.47
1672,1,1,5,5,1,0,1,1,1,1,0,1,1,0,11.93,27.17,2.87,0.1,7.39,-2.02,4.19
15874,0,3,3,3,1,0,1,0,1,0,0,0,0,1,12.07,25.39,1.35,0.96,7.55,0.26,5.99
14405,1,3,3,5,0,1,0,0,1,0,1,0,1,1,12.07,29.62,0.65,-3.69,7.87,4.81,5.24
554,1,4,4,3,1,1,0,1,1,1,0,0,1,1,11.94,28.13,2.32,-4.33,7.15,2.72,5.49
16576,0,2,5,4,1,1,1,0,0,0,0,1,1,1,12.22,27.19,-1.99,-7.02,7.19,2.91,5.75
2788,1,4,4,3,1,1,0,0,0,0,1,1,0,0,12.19,29.27,1.87,1.16,7.58,0.76,6.29
17779,1,1,3,3,1,1,1,0,1,0,1,1,0,1,12.1,27.86,-0.61,-6.19,7.46,0.73,5.11
2637,1,4,3,3,0,0,1,0,0,0,1,1,0,1,11.58,25.64,0.21,-2.39,7.41,-0.64,6.68
12428,1,1,4,5,1,0,1,1,0,0,0,0,1,1,11.84,27.4,3.08,-2.66,7.46,0.04,5.81
12320,1,5,4,4,0,1,0,0,0,1,0,0,1,1,12.12,26.19,1.89,0.93,7.09,2.09,5.23
5169,1,2,2,5,0,0,0,1,0,1,0,1,1,0,12.03,27.52,2.28,3.48,7.13,-0.38,6.3
6667,1,4,5,5,0,1,1,1,0,0,1,0,0,1,12.02,27.24,-0.02,-1.11,7.42,-2.83,6.19
11549,1,4,3,4,1,1,1,0,1,0,1,0,1,1,12.21,26.96,3.4,-3.15,7.61,-0.11,6.4
190,1,2,4,4,0,1,1,1,1,0,1,1,1,0,11.88,26.47,0.71,3.61,7.12,1.45,3.75
19542,0,2,1,3,1,1,1,1,0,0,1,0,0,0,12.42,29.43,6.08,2.34,7.2,1.13,5.47
7373,1,2,3,5,1,1,1,1,0,1,1,0,0,0,11.89,29.22,-0.75,-0.06,7.05,3.88,7.94
19059,1,2,2,4,0,0,1,1,1,1,0,1,0,1,12.15,28.35,-0.3,-1.57,7.51,-1.38,5.88
2779,0,1,5,1,1,1,0,0,0,0,1,0,0,0,12.01,28.64,0.46,1.14,7.23,-2.23,8.58
11857,1,3,1,3,0,0,1,1,0,0,0,0,1,0,12.37,25.4,0.09,3.15,7.52,-0.89,5.79
15979,1,4,4,3,1,1,0,0,0,0,1,0,0,1,11.86,27.89,1.4,7.68,7.56,-1.04,5.35
16311,1,4,2,2,1,1,0,1,0,0,0,0,0,1,12.12,30.31,1.76,1.72,7.89,-1.76,7.42
17946,0,5,5,4,1,0,0,0,1,1,0,0,1,1,12.46,29.45,0.25,-5.5,7.57,-1.28,7.57
14431,0,4,4,3,0,1,1,0,0,0,0,0,0,1,12.11,29.23,1.31,-4.79,7.09,1.43,5.66
15909,0,3,5,1,0,0,0,1,1,0,0,1,0,0,12.11,28.25,2.12,-5.18,7.93,-0.86,7.12
15675,1,5,3,3,0,1,1,0,1,1,0,0,1,0,12.2,26.11,1.09,3.13,7.44,0.38,4.6
14927,1,1,3,5,1,0,1,0,0,1,0,1,1,0,11.99,27.23,0.11,-0.01,7.69,-2.39,8.19
9850,0,3,1,1,0,0,0,1,1,1,0,1,1,1,11.73,28.18,1.45,-4.41,7.69,-2.92,6.2
14892,1,1,3,2,0,0,0,1,0,0,0,0,1,0,11.71,27.99,1.54,4.76,7.36,-0.42,6.44
4449,1,4,5,2,0,1,1,1,0,0,1,1,1,0,12.07,25.59,1.98,2.35,7.19,-1.04,5.12
5792,0,4,3,4,0,0,1,0,1,0,0,0,1,0,11.64,27.9,0.16,1.24,7.76,0.57,4.8
19379,0,4,2,5,1,0,0,1,0,1,0,1,0,0,12.15,26.87,0.87,-3.02,7.48,2.58,6.04
5791,1,3,2,4,1,0,1,1,1,0,1,0,0,1,12.11,29.12,2.05,10.3,7.88,-0.06,6.16
17916,1,1,2,5,1,0,1,0,1,1,1,1,0,0,11.96,27.06,0.15,-3.16,7.71,-1.38,5.74
6229,0,4,4,5,0,0,1,0,0,1,0,1,1,1,11.9,28.31,-0.52,1.06,7.6,1.3,5.29
5533,1,2,3,3,0,0,1,0,0,1,1,0,0,0,12.18,26.16,-0.3,-3.36,7.45,0.07,7.2
11098,0,2,5,2,1,1,0,1,0,0,1,1,1,1,12.07,29.06,-1.41,-4.65,7.38,1.96,7.04
17064,1,4,3,5,0,1,0,0,1,1,1,1,1,0,11.89,28.53,1.77,-5.14,7.29,1.57,6.31
17472,1,3,1,4,1,0,0,0,0,1,0,0,0,1,12.14,28.17,-0.6,-2.78,7.26,3.85,5.75
17953,1,5,1,1,1,0,0,1,0,1,1,1,1,0,11.93,25.97,-1.43,-4.58,7.78,2.37,4.01
458,1,3,4,4,1,0,1,0,0,1,0,0,0,1,12.19,29.34,0.81,3.61,7.83,-0.58,5.79
1285,1,1,2,4,0,1,1,1,1,0,1,1,0,1,12.09,28.71,1.62,2.59,7.81,1.58,6.21
6006,0,2,2,4,1,0,0,0,1,1,0,1,0,0,12.08,28.67,-0.26,1.45,7.47,1.69,4.91
4864,1,3,3,4,1,0,1,0,1,0,1,0,1,1,12.38,23.8,1.92,3.65,7.84,1.36,7.09
16235,1,3,3,1,1,1,1,1,0,1,0,0,1,1,12.48,30.26,1.72,4.95,7.71,0.46,6.55
9882,0,4,5,5,1,1,0,0,1,1,1,0,1,0,12.14,26.48,1.03,0.31,7.73,1.91,7.56
2991,1,2,2,5,1,0,1,0,0,0,1,1,1,0,12.13,27.92,1.62,1.76,7.38,-1.39,5.23
14050,1,2,5,4,1,0,0,0,1,0,1,1,0,1,12.23,25.5,1.16,10.51,7.37,-1.16,5.29
16309,1,3,2,1,1,0,0,1,1,0,1,0,0,1,12.24,26.52,2.13,-0.28,7.42,0.98,5.84
737,1,5,1,4,1,1,0,0,1,0,1,0,1,1,12.32,27.9,2.71,2.45,7.83,-1.06,4.21
2202,1,2,3,3,0,0,0,1,0,1,1,0,1,1,12.03,27.29,0.69,2.05,7.74,1.68,6.43
3953,1,3,2,1,0,1,0,1,0,0,0,0,0,0,11.98,25.24,0.81,2.77,7.63,0.25,5.62
11116,1,3,2,5,0,1,0,0,0,0,1,0,1,0,12.09,26.99,2.19,-4.01,7.66,0.87,5.14
19578,1,1,1,3,0,0,0,0,0,0,0,1,0,1,11.82,31.27,1.24,2.93,7.39,-1.81,7.22
16522,1,2,2,1,0,1,0,1,1,1,1,0,1,0,11.78,31.56,4.71,-2.44,7.58,0.91,7.36
16819,1,3,4,1,1,1,1,1,1,0,1,0,1,1,11.87,27.45,-0.48,-4.98,7.52,2.22,6.44
132,1,3,3,3,0,0,0,1,0,1,0,0,0,0,11.88,24.73,2.37,-5.38,7.61,2.38,6.63
19209,1,4,3,4,1,0,1,0,1,1,0,0,0,1,11.84,28.12,0.4,0.24,7.09,0.26,6.65
17781,0,1,4,5,1,1,0,0,0,1,1,0,1,0,12.28,29.96,5.32,-3.65,7.37,-0.59,7.15
9282,0,1,5,4,1,1,0,1,0,0,1,0,0,0,11.82,30.56,3.75,-1.23,7.3,-0.1,5.57
2211,1,1,5,4,0,1,0,1,1,1,1,0,0,1,12.39,26.85,0.67,-1.25,7.64,1.08,5.84
12177,1,1,5,5,0,0,0,1,1,1,0,1,1,0,12.06,31.9,3.76,-2.16,7.84,-0.07,6.26
18238,1,2,1,3,0,1,0,0,1,1,0,1,0,0,12.16,27.55,0.73,-0.89,7.66,-0.29,6.93
16937,0,4,4,1,1,0,1,1,1,0,1,1,1,0,12.27,26.32,2.45,8.02,7.28,-1.34,4.98
9742,1,2,5,5,0,1,1,0,1,0,0,1,0,0,12.2,27.18,-0.34,1.4,7.6,1.85,5.72
10022,1,2,3,4,0,1,1,1,0,0,0,0,0,0,12.2,25.42,1.12,-1.67,7.81,-2.26,7.04
13495,1,2,5,4,1,0,1,1,0,1,1,1,0,0,11.88,26.79,0.59,1.12,7.97,0,4.98
4534,1,4,5,5,0,1,0,0,1,0,1,1,1,1,11.95,26.67,1.06,9.08,7.49,5.72,5.76
1935,1,4,3,5,0,1,0,0,1,1,0,1,0,1,12.09,29.34,-1.45,2.92,7.38,-0.71,6.09
5145,1,5,5,4,1,1,1,0,1,1,0,0,0,0,11.82,26.39,3.07,1.57,7.45,2.79,4.92
16701,0,2,3,5,0,1,1,1,1,0,1,0,0,0,12.14,30.23,4.86,1.81,7.56,-4.75,7.62
6599,0,3,3,4,0,0,0,0,1,0,1,1,0,1,11.87,27.68,-1.9,-0.02,7.55,3.8,7.6
12918,1,1,2,4,1,1,0,1,0,0,1,1,1,1,12.29,26.39,2.22,2.75,7.38,1.06,5.66
6318,0,2,5,1,1,0,1,0,0,0,0,1,1,1,12.12,25.81,2.82,8.35,7.73,4.5,5.66
1263,0,1,4,5,0,1,0,1,1,1,1,0,1,0,12.17,29.16,4.21,0.15,7.52,-0.88,4.9
8971,1,3,4,1,1,0,0,0,0,0,0,1,1,1,12.14,26.23,1.53,1.53,7.44,1.56,6.13
151,1,5,2,3,1,0,1,1,0,0,0,1,0,0,11.71,29.42,2.92,0.45,7.55,-1.19,5.91
13355,1,3,4,3,1,1,1,1,1,0,0,1,0,0,12.24,25.24,5.24,5.88,7.56,1.68,4.49
